Programme,Link,Topic,Title,Deadline,Type,Budget,Main responsible,Others involved,Related work,Priority,Actions,Status
"Health, demographic change and wellbeing ",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/sc1-bhc-25-2019.html,SC1-BHC-25-2019,Demonstration pilots for implementation of personalised medicine in healthcare,October 2018 ,IA,60M – Project 18-20 M,,,"Mycyfapp, Dr.PAI ",,,
"Food security, sustainable agriculture and forestry, marine, maritime and inland water research and the bioeconomy ",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/dt-sfs-14-2018.html ,DT-SFS-14-2018-2019,Personalized Nutrition,February 2018,IA,28M – Project 7 M,ES&JF&TV,,Mycyfapp and Previous rejected proposal WeCan,,,Invitation from HULAFE/ITACA (coord. MyCyFAPP) 
"Food security, sustainable agriculture and forestry, marine, maritime and inland water research and the bioeconomy ",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/ce-sfs-24-2019.html ,CE-SFS-24-2019,Innovative and citizen-driven food system approaches in cities ,January 2019,IA,12M – Project 6 M,,,"Socratic, Sharing Neighbourhoods",,,
"Europe in a changing world – Inclusive, innovative and reflective societies",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/dt-transformations-02-2018-2019-2020.html,DT-TRANSFORMATIONS-02-2018-2019-2020,Transformative impact of disruptive technologies in public services,"Mar 2018, Mar 2019",RIA,9M in 2018 / 7M in 2019 – Project 3-4 M,,,,,,
"Europe in a changing world – Inclusive, innovative and reflective societies",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/transformations-05-2018.html,TRANSFORMATIONS-05-2018,Cities as a platform for citizen-driven innovation,March 2018,CSA,6M – Project 1 M,,,SOCRATIC,,,
"Europe in a changing world – Inclusive, innovative and reflective societies",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/dt-migration-06-2018-2019.html,DT-MIGRATION-06-2018-2019,Addressing the challenge of migrant integration through ICT-enabled solutions,"March 2018, Also March 2019",IA-single stage,12M in 2018 / 8M in 2019 – Project 3-4 M,,,Sharing Neighbourhoods/Trondheim Røde Kors,,,
"Europe in a changing world – Inclusive, innovative and reflective societies",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/dt-governance-05-2018-2019-2020.html,DT-GOVERNANCE-05-2018-2019-2020,New forms of delivering public goods and inclusive public services,"March 2018, Also March 2019","CSA, RIA","1,5M Project 1-2 M, 8M – Project 3-4 M",,,SOCRATIC?,,,
"Europe in a changing world – Inclusive, innovative and reflective societies",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/transformations-03-2018-2019.html,TRANSFORMATIONS-03-2018-2019, Innovative solutions for inclusive and sustainable urban environments,March 2019,RIA,6M – Project 3 M,,,Sharing Neighbourhoods,,,
"Europe in a changing world – Inclusive, innovative and reflective societies",http://ec.europa.eu/research/participants/portal/desktop/en/opportunities/h2020/topics/dt-transformations-11-2019.html,DT-TRANSFORMATIONS-11-2019, Collaborative approaches to cultural heritage for social cohesion,March 2019,RIA,12M – Project 3-4 M,,,TAG CLOUD + Trondheim Røde Kors,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
